run_utc,station_id,name,obs_utc,temp_c
2026-06-27T12:23:36Z,10015,HELGOLAND,2026-06-27T11:00:00Z,24.5
2026-06-27T12:23:36Z,10020,LIST/SYLT,2026-06-27T11:00:00Z,27.1
2026-06-27T12:23:36Z,10022,LECK,2026-06-27T11:00:00Z,29.7
2026-06-27T12:23:36Z,10028,ST. PETER ORDING,2026-06-27T11:00:00Z,28.6
2026-06-27T12:23:36Z,10033,FLENSBURG,2026-06-27T11:00:00Z,31.4
2026-06-27T12:23:36Z,10035,SCHLESWIG,2026-06-26T13:00:00Z,30.8
2026-06-27T12:23:36Z,10037,SCHLESWIG-JAGEL,2026-06-27T11:00:00Z,34.1
2026-06-27T12:23:36Z,10038,HOHN,2026-06-27T11:00:00Z,33.9
2026-06-27T12:23:36Z,10042,OLPENITZ,2026-06-27T11:00:00Z,29.4
2026-06-27T12:23:36Z,10046,KIEL-H.,2026-06-27T11:00:00Z,33.8
2026-06-27T12:23:36Z,10055,WESTERMARKELSDORF,2026-06-27T11:00:00Z,30.6
2026-06-27T12:23:36Z,10091,ARKONA,2026-06-27T11:00:00Z,29.6
2026-06-27T12:23:36Z,10093,PUTBUS,2026-06-27T11:00:00Z,32.2
2026-06-27T12:23:36Z,10097,GREIFSWALDER OIE,2026-06-27T11:00:00Z,27.7
2026-06-27T12:23:36Z,10113,NORDERNEY,2026-06-27T11:00:00Z,22.7
2026-06-27T12:23:36Z,10124,LEUCHTTURM A. WESER,2026-06-27T11:00:00Z,22.9
2026-06-27T12:23:36Z,10126,WITTMUNDHAVEN,2026-06-27T11:00:00Z,31.4
2026-06-27T12:23:36Z,10129,BREMERHAVEN,2026-06-27T11:00:00Z,35.3
2026-06-27T12:23:36Z,10130,ELPERSBUETTEL,2026-06-27T11:00:00Z,33.1
2026-06-27T12:23:36Z,10131,CUXHAVEN,2026-06-27T11:00:00Z,27.8
2026-06-27T12:23:36Z,10136,NORDHOLZ,2026-06-27T11:00:00Z,32.6
2026-06-27T12:23:36Z,10139,BREMERVOERDE,2026-06-27T11:00:00Z,35.2
2026-06-27T12:23:36Z,10142,ITZEHOE,2026-06-27T11:00:00Z,34.5
2026-06-27T12:23:36Z,10146,QUICKBORN,2026-06-27T11:00:00Z,36.0
2026-06-27T12:23:36Z,10147,HAMBURG-FU.,2026-06-27T11:00:00Z,36.0
2026-06-27T12:23:36Z,10150,DOERNICK,2026-06-27T11:00:00Z,33.0
2026-06-27T12:23:36Z,10152,PELZERHAKEN,2026-06-27T11:00:00Z,31.0
2026-06-27T12:23:36Z,10156,LUEBECK,2026-06-27T11:00:00Z,35.5
2026-06-27T12:23:36Z,10161,BOLTENHAGEN,2026-06-27T11:00:00Z,31.4
2026-06-27T12:23:36Z,10162,SCHWERIN,2026-06-27T11:00:00Z,34.7
2026-06-27T12:23:36Z,10168,GOLDBERG,2026-06-27T11:00:00Z,35.1
2026-06-27T12:23:36Z,10170,WARNEMUENDE,2026-06-27T11:00:00Z,35.0
2026-06-27T12:23:36Z,10172,LAAGE,2026-06-27T11:00:00Z,34.4
2026-06-27T12:23:36Z,10180,BARTH,2026-06-27T11:00:00Z,32.7
2026-06-27T12:23:36Z,10184,GREIFSWALD,2026-06-27T11:00:00Z,34.9
2026-06-27T12:23:36Z,10193,UECKERMUENDE,2026-06-27T11:00:00Z,36.5
2026-06-27T12:23:36Z,10200,EMDEN-FLUGPLATZ,2026-06-27T11:00:00Z,28.9
2026-06-27T12:23:36Z,10210,FRIESOYTHE-ALTENOYTH,2026-06-27T11:00:00Z,32.5
2026-06-27T12:23:36Z,10224,BREMEN,2026-06-27T11:00:00Z,35.6
2026-06-27T12:23:36Z,10235,SOLTAU,2026-06-27T11:00:00Z,37.7
2026-06-27T12:23:36Z,10238,BERGEN-HOHNE,2026-06-27T11:00:00Z,36.5
2026-06-27T12:23:36Z,10246,FASSBERG,2026-06-27T11:00:00Z,37.6
2026-06-27T12:23:36Z,10249,BOIZENBURG,2026-06-27T11:00:00Z,35.7
2026-06-27T12:23:36Z,10253,LUECHOW,2026-06-27T11:00:00Z,36.9
2026-06-27T12:23:36Z,10261,SEEHAUSEN,2026-06-27T11:00:00Z,38.7
2026-06-27T12:23:36Z,10264,MARNITZ,2026-06-27T11:00:00Z,36.7
2026-06-27T12:23:36Z,10267,KYRITZ,2026-06-27T11:00:00Z,36.9
2026-06-27T12:23:36Z,10268,WAREN,2026-06-27T11:00:00Z,33.7
2026-06-27T12:23:36Z,10271,NEURUPPIN-ALT RUPPIN,2026-06-27T11:00:00Z,36.2
2026-06-27T12:23:36Z,10281,TROLLENHAGEN,2026-06-27T11:00:00Z,35.3
2026-06-27T12:23:36Z,10282,FELDBERG/MECKLENBURG,2026-06-27T11:00:00Z,36.0
2026-06-27T12:23:36Z,10289,GRUENOW,2026-06-27T11:00:00Z,35.2
2026-06-27T12:23:36Z,10291,ANGERMUENDE,2026-06-27T11:00:00Z,34.5
2026-06-27T12:23:36Z,10303,LINGEN-BACCUM,2026-06-27T11:00:00Z,33.3
2026-06-27T12:23:36Z,10309,AHAUS,2026-06-27T11:00:00Z,32.3
2026-06-27T12:23:36Z,10312,BELM,2026-06-27T11:00:00Z,34.5
2026-06-27T12:23:36Z,10315,MUENSTER/OSNABR.,2026-06-27T11:00:00Z,34.7
2026-06-27T12:23:36Z,10321,DIEPHOLZ,2026-06-27T11:00:00Z,36.0
2026-06-27T12:23:36Z,10325,BAD SALZUFLEN,2026-06-27T11:00:00Z,34.2
2026-06-27T12:23:36Z,10334,WUNSTORF,2026-06-27T11:00:00Z,35.2
2026-06-27T12:23:36Z,10335,BUECKEBURG,2026-06-27T11:00:00Z,34.2
2026-06-27T12:23:36Z,10338,HANNOVER,2026-06-27T11:00:00Z,35.2
2026-06-27T12:23:36Z,10343,CELLE,2026-06-27T11:00:00Z,35.7
2026-06-27T12:23:36Z,10348,BRAUNSCHWG.,2026-06-27T11:00:00Z,35.6
2026-06-27T12:23:36Z,10356,UMMENDORF,2026-06-27T11:00:00Z,36.0
2026-06-27T12:23:36Z,10359,GARDELEGEN,2026-06-27T11:00:00Z,39.4
2026-06-27T12:23:36Z,10361,MAGDEBURG,2026-06-27T11:00:00Z,38.0
2026-06-27T12:23:36Z,10365,GENTHIN,2026-06-27T11:00:00Z,38.7
